Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CVGW,"Calavo Growers Inc",57.77,-1.11,-1.89%,58.51,58.77,56.59,177600,07/31/20
CVI,"Cvr Energy Inc",19.2,-0.030000000000001,-0.16%,18.92,19.21,18.56,421000,07/31/20
CVLG,"Covenant Logistics Group Inc.",16.85,-1.18,-6.54%,17.97,18.03,16.8,113200,07/31/20
CVLT,"Commvault Systems",44.08,0.65,+1.50%,43.4,44.09,42.65,428400,07/31/20
CVLY,"Codorus Valley Bncp",11.75,-0.2,-1.67%,12,12.09,11.62,21600,07/31/20
CVM,"Cel-Sci Corp",12.51,0.0099999999999998,+0.08%,12.6,13.02,12.09,474900,07/31/20
CWBR,"Cohbar Inc",1.49,0,0.00%,1.48,1.5199,1.4701,65000,07/31/20
CWCO,"Cons Water Co. Inc",12.27,-0.15,-1.21%,12.37,12.43,12.11,105600,07/31/20
CWEN,"Clearway Energy Inc Cl C",24.54,0.18,+0.74%,24.32,24.57,24.08,478700,07/31/20
CWE.A,"Clearway Energy Inc Cl A",22.91,0.21,+0.93%,22.72,22.91,22.43,181500,07/31/20
CWH,"Camping World Holdings Inc",36.62,0.099999999999994,+0.27%,36.83,37.25,35.11,1555300,07/31/20
CWK,"Cushman & Wakefield Plc",10.7,-0.19,-1.74%,10.85,10.85,10.53,580800,07/31/20
CWST,"Casella Waste Sys",55.41,0.5,+0.91%,54.6,55.58,54.02,202300,07/31/20
CWT,"California Water Service Group Holding",46.87,-1.17,-2.44%,47.91,48.52,46.52,961000,07/31/20
CXP,"Columbia Property Trust Inc",11.96,0.22,+1.87%,12.1,12.1,10.95,927700,07/31/20
CXW,"Corecivic Inc",8.91,0.12,+1.37%,8.79,8.92,8.66,1126600,07/31/20
CYBE,"Cyberoptics Cp",39.35,-0.7,-1.75%,40.28,40.3,38.67,63600,07/31/20
CYCN,"Cyclerion Therapeutics Inc",3.82,-0.23,-5.68%,4.08,4.1,3.71,302100,07/31/20
CYH,"Community Health Systems",4.98,0.050000000000001,+1.01%,4.87,5.03,4.76,2588700,07/31/20
CYRX,"Cryoport Inc",33.14,0.73,+2.25%,32.69,33.14,31.95,437400,07/31/20
CYTK,Cytokinetics,21.62,-1.05,-4.63%,22.6,22.66,21.16,1229000,07/31/20
CZNC,"Citizens Nrthn Cp",17.7,0.099999999999998,+0.57%,17.63,18.16,17.25,25000,07/31/20
CZR,"Caesars Entertainment Inc",31.05,-2.32,-6.95%,33.4,33.64,30.8,5603400,07/31/20
DAKT,"Daktronics Inc",4.17,0.07,+1.71%,4.06,4.19,3.96,247600,07/31/20
DAN,"Dana Inc",11.43,-0.46,-3.87%,11.72,11.79,11,2293600,07/31/20
DAR,"Darling International Inc",27.93,-0.45,-1.59%,28.13,28.3,27.23,1206700,07/31/20
DBCP,"Delmar Bancorp",5.82,-0.17,-2.84%,6.05,6.09,5.81,7300,07/31/20
DBD,"Diebold Nixdorf Inc",6.97,-0.52,-6.94%,7.5,7.76,6.78,1624500,07/31/20
DBI,"Designer Brands Inc",5.91,-0.4,-6.34%,6.25,6.36,5.82,1619400,07/31/20
DCO,"Ducommun Inc",35.95,1.7,+4.96%,35.7,37.73,34.95,113900,07/31/20
DCOM,"Dime Community Bncsh",11.74,-0.13,-1.10%,11.75,11.89,11.43,244200,07/31/20
DCPH,"Deciphera Pharmaceuticals Inc",46.37,-0.42,-0.90%,46.63,47.21,45.53,618800,07/31/20
DDD,"3D Systems Corp",6.59,0,0.00%,6.59,6.65,6.37,1685900,07/31/20
DDS,Dillard's,23.55,-0.42,-1.75%,23.79,23.91,23.02,395200,07/31/20
DEA,"Easterly Government Properties",24.45,0.3,+1.24%,24.09,24.45,23.81,567400,07/31/20
DECK,"Deckers Outdoor Corp",209.25,-4.9,-2.29%,198.23,215.1,196.21,593100,07/31/20
DENN,"Dennys Corp",8.88,-0.5,-5.33%,9.29,9.3,8.82,1325000,07/31/20
DFIN,"Donnelly Financial Solutions Inc",8.65,0.29,+3.47%,8.28,8.68,8.27,423000,07/31/20
DGICA,"Donegal Group Cl A",13.98,-0.41,-2.85%,14.19,14.19,13.67,46400,07/31/20
DGII,"Digi Intl Inc",12.12,-0.06,-0.49%,12.09,12.14,11.73,121500,07/31/20
DHC,"Diversified Healthcare Trust",3.89,-0.07,-1.77%,3.91,3.99,3.73,1941600,07/31/20
DHIL,"Diamond Hill Inv",114.03,-3.62,-3.08%,116.49,116.49,112.71,17200,07/31/20
DHT,"Dht Holdings",5.68,-0.010000000000001,-0.18%,5.7,5.72,5.55,2020900,07/31/20
DHX,"Dice Holdings",2.5,-0.03,-1.19%,2.49,2.51,2.41,102200,07/31/20
DIN,"Dineequity Inc",45.43,-1.04,-2.24%,45.73,46.38,43.18,847100,07/31/20
DIOD,"Diodes Inc",51.45,-0.41999999999999,-0.81%,52,52.65,50.02,331500,07/31/20
DJCO,"Daily Journal Cp",284,0.99000000000001,+0.35%,284,284,284,800,07/31/20
DK,"Delek US Holdings",17.48,-0.050000000000001,-0.29%,17.25,17.75,16.9,767200,07/31/20
DLTH,"Duluth Hld Cl B",7.39,-0.06,-0.81%,7.39,7.5,7.18,126200,07/31/20
DLX,"Deluxe Corp",28.23,3.07,+12.20%,26.29,29,26.16,9268600,07/31/20
DMRC,"Digimarc Corp",14.06,1.15,+8.91%,12.81,14.06,12.56,109000,07/31/20
DMTK,"Dermtech Inc",10.59,-0.1,-0.94%,10.57,10.99,10.17,169900,07/31/20
DNLI,"Denali Therapeutics Inc",23.42,-0.56,-2.34%,24.12,24.18,23.03,666700,07/31/20
DNOW,"Now Inc",7.88,-0.47,-5.63%,8.21,8.28,7.83,1035600,07/31/20
DOC,"Physicians Realty Trust",18.04,0.079999999999998,+0.45%,17.89,18.05,17.71,1913400,07/31/20
DOMO,"Domo Inc Cl B",32.18,-0.37,-1.14%,33.14,33.25,31.15,339600,07/31/20
DOOR,"Masonite Worldwide Hld",84.35,-3.36,-3.83%,87.25,87.72,82.67,222000,07/31/20
DORM,"Dorman Products Inc",81.75,-1.06,-1.28%,82.47,84.22,80.69,265500,07/31/20
DRH,"Diamondrock Hospitality Company",4.62,-0.14,-2.94%,4.71,4.71,4.46,1578700,07/31/20
DRNA,"Dicerna Pharmaceutic",21.5,-0.87,-3.89%,22.25,22.66,21.35,720400,07/31/20
DRQ,Dril-Quip,33.29,-1.37,-3.95%,34.43,35.06,31.13,355000,07/31/20
DRRX,"Durect Corp",1.96,0.02,+1.03%,2.09,2.1082,1.93,1621500,07/31/20
DSKE,"Daseke Inc",4.17,-0.0099999999999998,-0.24%,4.13,4.2,3.98,257300,07/31/20
DSPG,"D S P Group Inc",14.85,-0.29,-1.92%,14.54,15.1,14.21,386700,07/31/20
DSSI,"Diamond S Shipping Inc",8.78,-0.020000000000001,-0.23%,8.74,8.8,8.43,194100,07/31/20
DTIL,"Precision Biosciences Inc",6.36,-0.65,-9.27%,7.03,7.1,6.31,640300,07/31/20
DVAX,"Dynavax Technologies",8.11,-0.28,-3.34%,8.36,8.49,7.84,4322900,07/31/20
DX,"Dynex Capital",15.45,0.029999999999999,+0.19%,15.4,15.6,15.11,343500,07/31/20
DXPE,"Dxp Enterprise",16.88,-0.44,-2.54%,17.1,17.22,16.48,99500,07/31/20
DY,"Dycom Industries",42.83,0.42,+0.99%,42,42.87,40.94,327700,07/31/20
DYAI,"Dyadic International",8.68,0,0.00%,8.49,8.75,8.31,92500,07/31/20
DZSI,"Dasan Zhone Solutions Inc",10.11,-0.020000000000001,-0.20%,10.08,10.29,9.9,53800,07/31/20
EARN,"Ellington Residential Mortgage",11.05,-0.15,-1.34%,11.25,11.25,10.8,73400,07/31/20
EAT,"Brinker International",26.89,-1.04,-3.72%,27.6,27.88,26.07,1698800,07/31/20
EB,"Eventbrite Inc",8.52,-0.030000000000001,-0.35%,8.59,8.77,8.28,1396400,07/31/20
EBF,"Ennis Inc",17.3,-0.23,-1.31%,17.35,17.54,17.12,125000,07/31/20
EBIX,"Ebix Inc",22.05,0.25,+1.15%,21.67,22.06,21.12,230400,07/31/20
EBMT,"Eagle Bancorp [Mt]",15.45,-0.58,-3.62%,16.03,16.13,15.11,18400,07/31/20
EBS,"Emergent Biosolutions",111.24,14.22,+14.66%,103.63,114.13,103.63,1834400,07/31/20
EBSB,"Meridian Bncp",11.4,-0.1,-0.87%,11.4,11.48,11.2,165500,07/31/20
EBTC,"Enterprise Bancorp",21.5,-0.21,-0.97%,21.53,22.21,21.5,12500,07/31/20
ECHO,"Echo Global Logistic",25.06,-0.58,-2.26%,25.46,25.59,24.62,231100,07/31/20
ECOL,"US Ecology Inc",34.68,-0.13,-0.37%,34.47,35,32.06,193400,07/31/20
ECOM,"Channeladvisor Corp",20.37,-0.11,-0.54%,20.75,20.99,19.96,540500,07/31/20
ECPG,"Encore Capital Group",36.53,0.83,+2.32%,35.52,36.7,34.6,602600,07/31/20
EDIT,"Editas Medicine",29.36,-1.27,-4.15%,30.78,30.85,29.2,847800,07/31/20
EEX,"Emerald Expositions Events Inc",2.72,0.03,+1.12%,2.69,2.73,2.59,141800,07/31/20
EFC,"Ellington Financial Llc",11.76,-0.26,-2.16%,11.96,11.96,11.63,330400,07/31/20
EFSC,"Enterprises Finl Svc",29.06,-0.66,-2.22%,29.5,29.61,28.41,73100,07/31/20
EGAN,"Egain Corp",9.91,-0.07,-0.70%,10.01,10.01,9.65,144900,07/31/20
EGBN,"Eagle Bancorp Inc",30.08,-0.11,-0.36%,29.92,30.13,28.97,164300,07/31/20
EGHT,"8X8 Inc",15.9,-1.2,-7.02%,16.57,16.84,15.21,3301200,07/31/20
EGLE,"Eagle Bulk Ship",2.43,0,0.00%,2.41,2.44,2.31,348100,07/31/20
EGOV,"Nic Inc",21.92,0.29,+1.34%,21.61,21.93,21.37,413400,07/31/20
EGP,"Eastgroup Properties",132.66,-0.67000000000002,-0.50%,133.03,133.03,129.93,280500,07/31/20
EGRX,"Eagle Pharmaceuticals",46.39,-1.34,-2.81%,47.61,47.61,45.17,148000,07/31/20
EHTH,"Ehealth Inc",69.14,-3.11,-4.30%,72.78,74,68.54,1182000,07/31/20
EIDX,"Eidos Therapeutics Inc",40.1,-1.44,-3.47%,41.94,41.94,38.44,97200,07/31/20
EIG,"Employers Holdings Inc",32.52,0.1,+0.31%,32.04,32.6,31.71,282600,07/31/20
EIGI,"Endurance Int Group",5.67,-0.64,-10.14%,6.3,6.3,5.66,919700,07/31/20
EIGR,"Eiger Biopharma",10.05,-0.15,-1.47%,10.18,10.22,9.56,309600,07/31/20
ELA,"Envela Corp.",4.23,-0.12,-2.76%,4.39,4.46,4.22,61500,07/31/20
ELF,"E.L.F. Beauty Inc",17.86,-0.13,-0.72%,17.91,18.02,17.48,1248800,07/31/20
ELMD,"Electromed Inc",16.59,-1,-5.69%,17.65,17.88,16.3,174500,07/31/20
ELOX,"Eloxx Pharmaceuticals Inc",2.79,-0.05,-1.76%,2.82,2.85,2.78,56300,07/31/20
ELY,"Callaway Golf Company",19.05,-0.050000000000001,-0.26%,19.14,19.19,18.53,1855200,07/31/20
EME,"Emcor Group",68.5,-0.7,-1.01%,68.44,68.8,67.57,560800,07/31/20
EML,"Eastern Company",16.31,-0.17,-1.03%,17.48,17.48,16.15,13500,07/31/20
ENDP,"Endo Int'l Plc",3.48,0.06,+1.75%,3.39,3.48,3.29,3406100,07/31/20
ENOB,"Enochian Biosciences Inc",3.85,0.01,+0.26%,3.8,3.91,3.7,59400,07/31/20
ENS,"Enersys Inc",67.26,-0.67,-0.99%,67.45,67.59,65.45,219200,07/31/20
ENSG,"The Ensign Group IN",45.99,-0.56,-1.20%,46.09,46.55,44.47,293900,07/31/20
ENTA,"Enanta Pharmaceutica",45.85,-1.14,-2.43%,46.9,47.31,44.26,238600,07/31/20
ENV,"Envestnet Inc",81.2,0.74000000000001,+0.92%,80.28,81.33,78.39,253600,07/31/20
ENVA,"Enova International Inc",16.09,0.66,+4.28%,15.27,16.16,14.97,868100,07/31/20
ENZ,"Enzo Biochem",2.38,-0.09,-3.64%,2.47,2.5,2.35,1038800,07/31/20
EOLS,"Evolus Inc",3.26,-0.19,-5.51%,3.5,3.5,3.26,658000,07/31/20
EPAC,"Actuant Corp",18.9,-0.45,-2.33%,19.2,19.22,18.34,206100,07/31/20
EPAY,"Bottomline Tech IN",48.26,-0.48,-0.98%,48.89,48.98,46.8,259700,07/31/20
EPC,"Edgewell Personal Care",29.89,0.35,+1.18%,29.38,30.01,29.38,421400,07/31/20
EPM,"Evolution Petroleum Corp",2.62,-0.09,-3.32%,2.67,2.69,2.6,66500,07/31/20
EPRT,"Essential Properties Realty Trust Inc",16.1,0.12,+0.75%,15.9,16.12,15.28,754300,07/31/20
EPZM,"Epizyme Inc",13.84,-0.17,-1.21%,13.95,14.02,13.59,1506700,07/31/20
EQBK,"Equity Bncsrs Cm A",14.14,0.040000000000001,+0.28%,14.1,14.33,13.75,44800,07/31/20
ERII,"Energy Recovery Inc",7.59,-0.28,-3.56%,7.93,7.99,7.43,312100,07/31/20
EROS,"Eros International Plc",2.84,-0.27,-8.68%,2.96,3.18,2.58,11310500,07/31/20
ESCA,"Escalade Inc",15.35,-0.32,-2.04%,15.51,15.84,15,45400,07/31/20
ESE,"Esco Technologies Inc",85.94,0.039999999999992,+0.05%,85.16,86.02,83.67,101600,07/31/20
ESGR,"Enstar Group Ltd",167.95,-4.53,-2.63%,172.91,172.92,166.23,35600,07/31/20
ESNT,"Essent Group Ltd",35.83,0.31,+0.87%,35.25,35.89,35,735300,07/31/20
ESPR,"Esperion Theraptc",37.63,-2.15,-5.40%,39.81,40,37.21,896900,07/31/20
ESQ,"Esquire Financial Holdings Inc",15.55,-0.08,-0.51%,15.52,15.72,15.5,9500,07/31/20
ESSA,"Essa Bancorp Inc",12.6,-0.030000000000001,-0.24%,12.6,12.9,12.6,13800,07/31/20
ESTE,"Earthstone Energy",2.63,-0.15,-5.40%,2.78,2.78,2.61,339500,07/31/20
ESXB,"Community Bankers",5.16,0,0.00%,5.12,5.16,5.01,48400,07/31/20
ETH,"Ethan Allen Interiors Inc",11.84,-0.45,-3.66%,12.1,12.19,11.67,358600,07/31/20
ETM,"Entercom Communications Corp",1.4,-0.03,-2.10%,1.43,1.44,1.34,1284700,07/31/20
ETNB,"89Bio Inc",30.38,1.29,+4.43%,30.07,31.43,29,78300,07/31/20
ETON,"Eton Pharmaceutcials Inc",6.68,0.52,+8.44%,6.39,6.83,6.26,358300,07/31/20
EVBN,"Evans Bancorp",22.05,-0.45,-2.00%,22.39,22.81,22,9400,07/31/20
EVC,"Entravision Communications Corp",1.32,-0.04,-2.94%,1.34,1.3718,1.31,106800,07/31/20
EVER,"Everquote Inc Cl A",54.45,4.07,+8.08%,50.8,54.75,50.49,469000,07/31/20
EVFM,"Evofem Biosciences Inc",2.99,-0.05,-1.64%,3.08,3.11,2.94,3499300,07/31/20
EVH,"Evolent Health Inc Cl A Com",11.65,0.06,+0.52%,11.5,11.66,11.22,1717800,07/31/20
EVI,"Evi Industries Inc.",25.28,0.13,+0.52%,24.85,25.86,24.11,14000,07/31/20
EVLO,"Evelo Biosciences Inc",3.81,-0.17,-4.27%,4.01,4.01,3.69,287500,07/31/20
EVOP,"Evo Payments Inc Cl A",22.69,-0.6,-2.58%,23.25,23.26,22.27,447000,07/31/20
EVRI,"Everi Holdings Inc",5.68,-0.18,-3.07%,5.77,5.82,5.53,2721300,07/31/20
EVTC,"Evertec Inc",31.05,-0.31,-0.99%,31.2,31.2,30.31,501300,07/31/20
EXLS,"Exlservice Holdings",64.06,-0.2,-0.31%,63.97,64.2,62.73,131300,07/31/20
EXPI,"Exp Realty International",19.87,-0.74,-3.59%,20.52,20.91,19.54,280600,07/31/20
EXPO,"Exponent Inc",84.06,0.61,+0.73%,82.61,84.34,82.26,420700,07/31/20
EXPR,"Express Inc",1.01,-0.1,-9.01%,1.14,1.14,1,2262700,07/31/20
EXTN,"Exterran Corp",4.97,-0.25,-4.79%,5.14,5.17,4.91,273900,07/31/20
EXTR,"Extreme Networks",4.55,0.05,+1.11%,4.46,4.56,4.29,920000,07/31/20
EYE,"National Vision Holdings Inc",31.99,0.95,+3.06%,31.08,31.99,30.68,710100,07/31/20
EZPW,"Ezcorp Inc",5.72,-0.19,-3.21%,5.85,5.96,5.63,272900,07/31/20
FARM,"Farmer Brothers",4.98,-0.09,-1.78%,5.07,5.11,4.74,107300,07/31/20
FARO,"Faro Tech Inc",59.83,1.03,+1.75%,58.84,60.21,58.1,221000,07/31/20
FATE,"Fate Therapeutics",31.27,-0.33,-1.04%,31.75,32.06,30.35,774900,07/31/20
FBC,"Flagstar Bancorp",31.38,0.059999999999999,+0.19%,31.72,31.72,30.64,234400,07/31/20
FBIO,"Fortress Biotech Inc",2.77,-0.0099999999999998,-0.36%,2.85,2.87,2.62,764400,07/31/20
FBIZ,"First Business Finan",14.87,0.11,+0.75%,15.1,15.55,14.29,33100,07/31/20
FBK,"Fb Financial Corp",25.41,-0.02,-0.08%,25.66,25.66,24.79,187000,07/31/20
FBM,"Foundation Building Materials Inc",13.73,-0.049999999999999,-0.36%,13.58,13.75,13.44,351600,07/31/20
FBMS,"First Bancshs [Ms]",19.91,-0.57,-2.78%,20.22,20.33,19.2,82400,07/31/20
FBNC,"First Bancorp [Nc]",20.66,-0.58,-2.73%,20.88,21.28,20.35,154100,07/31/20
FBP,"First Bancorp",5.44,-0.11,-1.98%,5.47,5.48,5.27,2105000,07/31/20
FC,"Franklin Covey Company",18.09,-0.25,-1.36%,18.16,18.29,17.63,90100,07/31/20
FCAP,"First Capital Inc",53.51,-1.74,-3.15%,51.04,55.67,51.04,5500,07/31/20
FCBC,"First Community Bksh",19.56,-0.63,-3.12%,20.01,20.33,19.38,54100,07/31/20
FCBP,"First Choice Bancorp",15.13,-0.17,-1.11%,15.3,15.3,14.96,14800,07/31/20
FCCO,"First Community Corp",13.4,-0.35,-2.55%,13.61,13.61,13.38,5100,07/31/20
FCCY,"1st Constitution Bcp",12.36,0.35,+2.91%,11.91,12.57,11.91,8100,07/31/20
FCEL,"Fuelcell Energy Inc",2.23,-0.06,-2.62%,2.33,2.35,2.16,9350500,07/31/20
FCF,"First Commonwealth Financial Corp",7.87,-0.03,-0.38%,7.84,7.88,7.61,912100,07/31/20
FCFS,"First Cash Fin Svcs",57.64,-0.79,-1.35%,57.96,58.14,57.08,315400,07/31/20
FCPT,"Four Corners Property Trust IN",25.2,0.87,+3.58%,25.3,25.3,24.09,537400,07/31/20
FDBC,"Fidelity D & D Bancorp Inc",45.66,-2.87,-5.91%,49.86,51.27,45.66,6100,07/31/20
FDP,"Fresh Del Monte Produce",22.58,-0.7,-3.01%,23.08,23.42,22.2,294700,07/31/20
FELE,"Franklin Electric Company",54.05,-0.99,-1.80%,54.57,54.61,53.05,497500,07/31/20
FENC,"Fennec Pharmaceuticals Inc",8.44,0.11,+1.32%,8.54,8.68,8.28,277500,07/31/20
FF,"Futurefuel Corp",13.18,-0.2,-1.49%,13.27,13.45,13,144400,07/31/20
FFBC,"First Finl Bncp [Oh]",13.91,-0.13,-0.93%,13.93,14.01,13.45,526800,07/31/20
FFG,"Fbl Financial Group",34.78,-0.14,-0.40%,34.61,34.82,33.84,28000,07/31/20
FFIC,"Flushing Finl Corp",11.08,-0.029999999999999,-0.27%,11.1,11.12,10.75,182100,07/31/20
FFIN,"First Finl Bkshs Inc",29.92,-0.54,-1.77%,30.29,30.54,29.45,543600,07/31/20
FFWM,"First Foundation",15.37,-0.22,-1.41%,15.49,15.64,15.09,155400,07/31/20
FGBI,"First Gurty Banc",11.79,-0.1,-0.84%,11.89,12.07,11.79,3800,07/31/20
FGEN,"Fibrogen Inc CS",40.47,-0.9,-2.18%,41.6,41.96,40.2,456900,07/31/20
FHI,"Federated Investors",26.36,1.81,+7.37%,24.62,26.39,24,1194300,07/31/20
FI,"Frank's International N.V.",2.28,0.0099999999999998,+0.44%,2.25,2.3,2.21,702400,07/31/20
FIBK,"First Interstate Ban",29.11,-0.26,-0.89%,29.3,29.45,28.66,211700,07/31/20
FISI,"Financial Institut",14.77,-0.26,-1.73%,14.84,15,14.5,123100,07/31/20
FIT,"Fitbit Inc",6.54,0.07,+1.08%,6.47,6.57,6.47,3737200,07/31/20
FIX,"Comfort Systems USA",49.71,0.78,+1.59%,48.57,49.88,47.2,410400,07/31/20
FIXX,"Homology Medicines Inc",13.15,-0.79,-5.67%,13.9,14.14,13.05,697600,07/31/20
FIZZ,"Natl Beverage Cp",64.15,-5.47,-7.86%,69.73,70.36,62.74,590500,07/31/20
FLDM,"Fluidigm Corp",7.04,1.2,+20.55%,5.82,9.26,5.5,64629200,07/31/20
FLGT,"Fulgent Genetics Inc",26.35,0.23,+0.88%,26.5,26.65,25.07,362300,07/31/20
FLIC,"First of Long Isla",14.91,0.17,+1.15%,14.87,14.95,14.38,88800,07/31/20
FLMN,"Falcon Minerals Corp Cl A",2.51,-0.16,-5.99%,2.67,2.69,2.49,133000,07/31/20
FLNT,"Fluent Inc",1.82,-0.03,-1.62%,1.84,1.8699,1.76,107600,07/31/20
FLOW,"SPX Flow Inc",40.08,-0.79,-1.93%,40.4,40.84,39.41,412900,07/31/20
FLR,"Fluor Corp",10.19,-1.14,-10.06%,11.25,11.35,10.06,3760800,07/31/20
FLWS,1-800-Flowers.com,28.25,0.2,+0.71%,27.99,28.89,27.86,856600,07/31/20
FLXN,"Flexion Therapeutics",13.57,-0.28,-2.02%,14.09,14.39,13.46,785300,07/31/20
FMAO,"Farmers & Merch Banc",21.49,-0.16,-0.74%,21.52,21.69,21.3,14700,07/31/20
FMBH,"First Mid Ill Bncshr",24.41,-1.39,-5.39%,25.55,25.59,24.23,33000,07/31/20
FMBI,"First Midwest Bncp",12.13,0,0.00%,12.04,12.14,11.77,731000,07/31/20
FMNB,"Farmers Natl Banc Cp",10.81,-0.41,-3.65%,11.12,11.17,10.62,74000,07/31/20
FN,Fabrinet,72.63,0.5,+0.69%,72.28,72.71,71.13,270400,07/31/20
FNCB,"FNCB Bancorp Inc",5.59,-0.33,-5.57%,5.8,5.83,5.57,12300,07/31/20
FNHC,"Federated Natl Hld",9.36,0.25,+2.74%,9,9.41,8.89,51700,07/31/20
FNKO,"Funko Inc Cl A",5.54,-0.08,-1.42%,5.69,5.69,5.37,656900,07/31/20
FNLC,"First Bancorp Inc",20.14,-0.13,-0.64%,20.11,20.32,20.1,12000,07/31/20
FNWB,"First Nw Banc",10.25,-0.91,-8.15%,11.01,11.1,10.25,19500,07/31/20
FOCS,"Focus Financial Partners Inc Cl A",36.95,-0.31,-0.83%,37.05,37.1,36.01,402700,07/31/20
FOE,"Ferro Corp",11.69,-0.41,-3.39%,11.94,12.04,11.36,323500,07/31/20
FOLD,"Amicus Therapeutics",14.45,-0.23,-1.57%,14.67,14.69,14.09,1588700,07/31/20
FONR,"Fonar Corp",24.62,0.11,+0.45%,24.4,24.8,24.1,27500,07/31/20
FOR,"Forestar Group Inc",17.31,-0.24,-1.37%,17.56,17.56,16.87,118200,07/31/20
FORM,"Formfactor Inc",28.84,-2.01,-6.52%,30,30.31,28,1404300,07/31/20
FORR,"Forrester Resrch",35.11,2.16,+6.56%,33.7,35.38,33.39,47200,07/31/20
FOSL,"Fossil Group",3.31,-0.12,-3.50%,3.51,3.54,3.21,1549000,07/31/20
FOXF,"Fox Factory Cp",89,-1.44,-1.59%,90.89,90.97,86.56,276600,07/31/20
FPI,"Farmland Partners Inc",6.91,-0.14,-1.99%,7.11,7.11,6.86,129600,07/31/20
FPRX,"Five Prime Thera",5.9,0.16,+2.79%,5.71,5.9,5.17,327400,07/31/20
FRAF,"Franklin Finl Svcs Corp",24.12,-0.48,-1.95%,24.53,24.53,24,6400,07/31/20
FRBA,"First Bank",6.53,-0.17,-2.54%,6.67,6.67,6.31,60000,07/31/20
FRBK,"Republic First Bcp",2.33,-0.02,-0.85%,2.34,2.37,2.3,100900,07/31/20
FREQ,"Frequency Therapeutics Inc",21.14,-0.88,-4.00%,21.89,22.26,20.57,126300,07/31/20
FRG,"Franchise Group Inc",24.5,0.49,+2.04%,24.86,25.41,24,167000,07/31/20
FRGI,"Fiesta Restaurant Gp",6.48,-0.05,-0.77%,6.49,6.53,6.24,218700,07/31/20
FRME,"First Merchants Corp",24.43,-0.080000000000002,-0.33%,24.38,24.65,23.67,235700,07/31/20
FRO,"Frontline Ltd",8,-0.039999999999999,-0.50%,8.04,8.07,7.78,1560400,07/31/20
FRPH,"Frp Holdings Inc",39.12,-0.51000000000001,-1.29%,39.84,39.84,39.06,30300,07/31/20
FRPT,"Freshpet Inc CS",96.05,0.92999999999999,+0.98%,95.67,96.32,93.03,374400,07/31/20
FRTA,"Forterra Inc",12.99,0.1,+0.78%,12.79,13.03,12.48,338200,07/31/20
FSB,"Franklin Financial Network Inc",26.4,0.029999999999998,+0.11%,26.21,26.54,25.85,70900,07/31/20
FSBW,"FS Bancorp Inc",38,0.13,+0.34%,37.87,38.16,37.61,7100,07/31/20
FSCT,"Forescout Technologies Inc",28.99,0.039999999999999,+0.14%,28.96,28.99,28.95,1569500,07/31/20
FSFG,"First Savings Financ",42.5,-0.1,-0.23%,43.42,43.42,42.5,2800,07/31/20
FSP,"Franklin Street Properties",5.25,-0.0099999999999998,-0.19%,5.16,5.27,4.89,840800,07/31/20
FSS,"Federal Signal Corp",30.91,-0.44,-1.40%,31.02,31.09,30.08,338200,07/31/20
FSTR,"Foster L B Company",14.06,-0.14,-0.99%,14.09,14.21,13.73,34000,07/31/20
FUL,"H. B. Fuller Company",45.34,0.26000000000001,+0.58%,44.86,45.34,44.06,2008900,07/31/20
FULC,"Fulcrum Therapeutics Inc",15.87,0.12,+0.76%,15.76,16.4,15.44,33400,07/31/20
FULT,"Fulton Financial Cor",9.7,-0.11,-1.12%,9.75,9.77,9.5,872700,07/31/20
FUNC,"First United Corp",10.81,-0.24,-2.17%,11.25,11.25,10.81,16900,07/31/20
